block,shader,diffuse_short,keywords,samplers
0,object_norm,planet_02,"ganymede_details, gasplanet, planet, planet_02",4
1,fresnel,mask,mask,2
2,object_norm_blend,terrain,"terrain, terrain2, terrain_msk",6
3,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, bs_imper_elements_red",5
4,object_norm,bs_imper_engines,"bs_imper_engines, bs_imper_engines_msk",4
5,object_norm,bs_imper_panel,"bs_imper_panel, bs_imper_panel_msk",4
6,object_norm,terrain,"terrain, terrain_msk",4
7,skybackground,gasgiant_rings,gasgiant_rings,1
8,object_norm_blend,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, bs_imper_elements_red, terrain2",6
9,object_norm_blend,bs_imper_engines,"bs_imper_engines, bs_imper_engines_msk, terrain2",5
10,object_norm_blend,bs_imper_panel,"bs_imper_panel, bs_imper_panel_msk, terrain2",5
11,skybackground,back_ships_small,"back_ships_fon, back_ships_small",2
12,skybackground,back_ships_trails,"back_ships_fon_trails, back_ships_trails",2
13,skybackground,back_ships_small,"back_ships_fon, back_ships_small",2
14,skybackground,back_ships_trails,"back_ships_fon_trails, back_ships_trails",2
15,skybackground,smoke_desttown2,"smoke_desttown2, smoke_desttown_mask2",2
16,skybackground,uv_mask1,"fire_desttown2, uv_mask1",2
17,skybackground,ship_01,ship_01,2
18,object_norm,prt_plate01,"alidium_01, alidium_01_msk, prt_plate01",4
