block,shader,diffuse_short,keywords,samplers
0,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
1,object_norm,crs_set01,"crs_set01, crs_set01_msk, plates_detail, ship",6
2,object_norm,bs_center,"bs_center, bs_center_msk, station_02",6
3,object_norm,is_communications,"is_communications, is_communications_msk, station_02",5
4,object_norm,is_details,"is_details, is_details_msk, station_02",6
5,object_norm,is_panels,"is_panels, is_panels_msk, station_02",5
6,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_02",6
7,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, ship",6
8,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, ship",6
9,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, ship",5
10,object_norm,fed_mix01,"fed_mix01, fed_mix01_msk, ship",6
11,object_norm,bs_center,"bs_center, bs_center_msk, ship",6
12,object_norm,is_communications,"is_communications, is_communications_msk, ship",5
13,object_norm,is_details,"is_details, is_details_msk, ship",6
14,object_norm,is_panels,"is_panels, is_panels_msk, ship",5
15,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, ship",6
16,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, ship",6
17,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station_01",6
18,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_01",6
19,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, station_01",5
20,object_norm,fed_mix01,"fed_mix01, fed_mix01_msk, station_01",6
21,animated_mock,gate_scroll,"gate_mask02, gate_scroll",2
22,animated_mock,inner,inner,1
23,object_norm,fed_city01,"fed_city01, fed_city01_msk, station_01",6
24,object_norm,is_details,"is_details, is_details_msk, station_03",6
25,object_norm,is_communications,"is_communications, is_communications_msk, station_03",5
26,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_03",6
27,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station_03",6
28,object_norm,is_panels,"is_panels, is_panels_msk, station_02",5
29,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station_02",6
30,object_norm,crs_set01,"crs_set01, crs_set01_msk, plates_detail, station_02",6
31,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station_02",6
32,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station_02",6
