block,shader,diffuse_short,keywords,samplers
0,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
1,object_norm,crs_plates_brk01,"crs_plates_brk01, crs_plates_brk01_msk, plates_detail, ship02",6
2,object_norm,crs_set02,"crs_set02, crs_set02_msk, plates_detail, ship02",6
3,object_norm,crs_plates03,"crs_plates03, crs_plates03_msk, station_human",6
4,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, station_human",5
5,object_norm,jer_plates02,"jer_plates02, jer_plates02_msk, station_human",5
6,object_norm,crs_plates02,"crs_plates02, crs_plates02_msk, station_human",5
7,object_norm,asteroid_lava01,"asteroid_detail01, asteroid_hole01, asteroid_lava01, asteroids",6
8,object_norm,jer_container01,"jer_container01, jer_container01_msk, station_human",5
9,animated_mock,crs_plates03,crs_plates03,2
