block,shader,diffuse_short,keywords,samplers
0,skybackground,asteroids_02,asteroids_02,2
1,skybackground,asteroids_04,asteroids_04,2
2,skybackground,asteroids_03,asteroids_03,2
3,skybackground,asteroids_01,asteroids_01,2
4,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
5,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_03",6
6,object_norm,fed_mix01,"fed_mix01, fed_mix01_msk, station_03",6
7,object_norm,cable01,"cable01, energi",5
8,object_norm,cable01,"cable01, station",5
9,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station",5
10,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station",5
11,object_norm,is_panels,"is_panels, is_panels_msk, station",5
12,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station",5
13,object_norm,is_communications,"is_communications, is_communications_msk, station",5
14,object_norm,is_details,"is_details, is_details_msk, station",6
15,object_norm,bs_center,"bs_center, bs_center_msk, station",6
16,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station",6
17,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station",6
18,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station",6
19,object_norm,is_details,"is_details, is_details_msk, station_03",6
20,object_norm,is_communications,"is_communications, is_communications_msk, station_03",5
21,object_norm,is_panels,"is_panels, is_panels_msk, station_03",5
22,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station_03",6
23,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station_03",6
24,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, energi",6
25,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, energi",6
26,object_norm,crs_plates03,"crs_plates03, crs_plates03_msk, station_03",6
27,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow, station_03",6
28,object_norm,bs_center,"bs_center, bs_center_msk, station_03",6
29,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, energi",6
30,object_norm,bs_imper_engines,"bs_imper_engines, bs_imper_engines_msk, energi",6
31,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, station_03",6
32,object_norm,bs_imper_engines,"bs_imper_engines, bs_imper_engines_msk, station_03",6
33,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, energi",6
34,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow, energi",6
35,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, energi",6
36,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station",6
37,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station_03",6
38,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_04",6
39,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station_04",6
40,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station_04",6
41,object_norm,bs_imper_engines,"bs_imper_engines, bs_imper_engines_msk, station_04",6
42,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow, station_04",6
43,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station_04",6
44,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_05",5
45,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station_05",5
46,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow, station_05",6
47,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station_04",5
48,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow, station_04",6
49,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_04",5
50,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station_05",5
51,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station_05",5
52,object_norm,bs_center,"bs_center, bs_center_msk, station_05",5
53,object_norm,crs_plates03,"crs_plates03, crs_plates03_msk, station_05",6
54,object_norm,cable01,"cable01, station_03",5
55,skybackground,empire_ship_02,empire_ship_02,2
56,skybackground,empire_ship_01,empire_ship_01,2
