block,shader,diffuse_short,keywords,samplers
0,object_norm,bs_imper_engines,"bs_imper_engines, bs_imper_engines_msk, dreadnought_01",6
1,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk_sc_dark, dreadnought_01",6
2,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk_sc_dark, dreadnought_01",6
3,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, dreadnought_01",6
4,object_norm,bs_center,"bs_center, bs_center_msk_sc_dark, dreadnought_01",6
5,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, dreadnought_01",6
6,object_norm,wall05,"dreadnought_01, wall05",4
7,object_norm,gates,"dreadnought_01, gates",4
8,object_norm,wall01,"dreadnought_01, wall01",4
9,object_norm,wires,"dreadnought_01, wires",4
10,object_norm,wall02,"dreadnought_01, wall02, wall02_msk",5
11,object_norm,linewind,"dreadnought_01, linewind",5
12,object_norm,wall06,"dreadnought_01, wall06",4
13,object_norm,wall07,"dreadnought_01, wall07",4
14,object_norm,cockpit,"cockpit, dreadnought_01, wall06",4
15,object_norm,runway,"dreadnought_01, runway, wall06",4
16,object_norm,ceiling01,"ceiling01, dreadnought_01",5
17,animated_mock,ramp_for_mock_16,"ramp_for_mock_16, strips_fon",2
18,animated_mock,ramp_for_mock_16,"industrial_fx2_blue, ramp_for_mock_16",2
19,animated_mock,ramp_for_mock_16,"dreadnought_strips, ramp_for_mock_16",2
