block,shader,diffuse_short,keywords,samplers
0,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, fed_station",5
1,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, fed_station",6
2,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, fed_station",6
3,object_norm,fed_mix01,"fed_mix01, fed_mix01_msk, fed_station",6
4,animated_mock,inner,inner,1
5,object_norm,bs_communications_02_inner,"bs_communications_02, bs_communications_02_inner, bs_communications_02_msk, fed_station, inner",6
6,object_norm,fed_city01,"fed_city01, fed_city01_msk, fed_station",6
7,animated_mock,gate_scroll,"gate_mask02, gate_scroll",2
8,object,fed_city01trees,"fed_city01trees, fed_station",4
9,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, fed_station",6
