block,shader,diffuse_short,keywords,samplers
0,object_norm,planet_moon,planet_moon,3
1,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk",5
2,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk",5
3,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk",4
4,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk",5
5,object_norm,fed_mix01,"fed_mix01, fed_mix01_msk",5
6,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk",5
7,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk",5
8,animated_mock,inner,inner,1
9,animated_mock,gate_scroll,"gate_mask02, gate_scroll",2
10,object_norm,fed_city01,"fed_city01, fed_city01_msk",5
11,object_norm,bs_communications_02_inner,"bs_communications_02, bs_communications_02_inner, bs_communications_02_msk",4
12,object_norm,aladium_plates_01_red,"aladium_plates_01, aladium_plates_01_msk, aladium_plates_01_red",4
13,object_norm,bs_plates_04_gold,"bs_plates_04_gold, bs_plates_04_gold_msk",5
14,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk_sc_dark",5
15,object_norm,aladium_plates_01_gold,"aladium_plates_01, aladium_plates_01_gold, aladium_plates_01_msk",4
16,object_norm,gate_animated_01,"deatail, deatail_msk, gate_animated_01",5
17,animated_mock,fraction,fraction,1
18,animated_mock,plitka,plitka,1
19,object_norm,aladium_plates_01,"aladium_plates_01, aladium_plates_01_msk",4
20,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk",5
21,object_norm,bs_plates_04_gray,"bs_plates_04, bs_plates_04_gray, bs_plates_04_msk",4
22,object_norm,bs_plates_04,"bs_plates_04, bs_plates_04_msk",4
23,object_norm,fed_mix_window,"fed_mix_window, fed_mix_window_msk",5
24,animated_mock,pattern_01,pattern_01,1
25,animated_mock,gate_animated_02,"gate_animated_01, gate_animated_02",2
26,object_norm,pole,"pole, pole_msk",4
27,animated_mock,football_team,football_team,1
