block,shader,diffuse_short,keywords,samplers
0,object_norm,bs_communications_02_white,"bs_communications_02, bs_communications_02_msk, bs_communications_02_white, tonnels",6
1,object_norm,minig_room02,"minig_room02, minig_room02_msk, tonnels",6
2,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, tonnels",6
3,object_norm,bs_communications_02_white,"bs_communications_02, bs_communications_02_msk, bs_communications_02_white, minning",6
4,object_norm,minig_room02,"minig_room02, minig_room02_msk, minning",6
5,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, minning",6
6,object_norm,asteroid_mining01,"asteroid_hole01, asteroid_mining01, minning",5
7,object_norm,asteroid_mining01,"asteroid_hole01, asteroid_mining01, tonnels",5
8,object_norm,minning_fire_rock,"crystal01_mineralrock, minning, minning_fire_rock, rock01_detail",6
9,object_norm,bs_imper_engines,"bs_imper_engines, bs_imper_engines_msk, minning",5
10,object_norm,truba_01,"minning, truba_01, truba_01_msk",5
11,object_norm,minnig_glass,"minnig_glass, minning",4
12,object_norm,minnig_ship_01,"minnig_ship_01, minnig_ship_01_msk, minning",5
13,object_norm,minig_room,"minig_room, minig_room_msk, minning",6
14,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
15,object_norm,planet_moon,planet_moon,3
16,sky,planet_aura,planet_aura,1
17,object_norm,planet_ilay2,planet_ilay2,3
18,skybackground,asteroids_02,asteroids_02,2
19,skybackground,asteroids_04,asteroids_04,2
20,skybackground,asteroids_01,asteroids_01,2
21,skybackground,asteroids_03,asteroids_03,2
22,object_norm,asteroid_lava01,"asteroid_detail01, asteroid_hole01, asteroid_lava01, asteroids",6
23,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow, minning",6
24,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, minning",6
25,animated_mock,asteroid_minnig01,asteroid_minnig01,1
26,animated_mock,affect_01,affect_01,1
27,animated_mock,gate_scroll_red,"gate_mask02, gate_scroll_red",2
28,animated_mock,asteroid_minnig01,asteroid_minnig01,1
29,animated_mock,affect_01,affect_01,1
30,object_norm,truba_02,"tonnels, truba_02, truba_02_msk",5
31,object_norm,truba_01,"tonnels, truba_01, truba_01_msk",5
32,object_norm,minig_room,"minig_room, minig_room_msk, tonnels",6
33,animated_mock,gate_scroll_red,"gate_mask02, gate_scroll_red",2
