block,shader,diffuse_short,keywords,samplers
0,sky,fed_planet_aura_back,fed_planet_aura_back,1
1,object_norm,planet_moon,"detail_moon01, planet_moon",4
2,sky,planet_aura,planet_aura,1
3,sky,fed_planet_aura_back,fed_planet_aura_back,1
4,object_norm,planet_ilay2,planet_ilay2,3
5,sky,planet_aura,planet_aura,1
6,skybackground,asteroids_02,asteroids_02,2
7,skybackground,asteroids_04,asteroids_04,2
8,skybackground,asteroids_03,asteroids_03,2
9,skybackground,asteroids_01,asteroids_01,2
10,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, outpost",6
11,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow, outpost",6
12,object_norm,bs_communications_01,"bot_ship, bs_communications_01, bs_communications_01_msk",6
13,object_norm,bs_shell_01_yellow,"bot_ship, bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow",6
14,object_norm,bs_communications_02,"bot_ship, bs_communications_02, bs_communications_02_msk",6
15,object_norm,bs_shell_01,"bot_ship, bs_shell_01, bs_shell_01_msk",6
16,object_norm,cable01,"cable01, outpost",5
17,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, outpost",6
18,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, outpost",6
19,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, outpost",6
20,object_norm,is_details,"is_details, is_details_msk, outpost",6
21,object_norm,is_communications,"is_communications, is_communications_msk, outpost",5
22,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, outpost",6
23,object_norm,bs_center,"bs_center, bs_center_msk, outpost",6
24,object_norm,is_panels,"is_panels, is_panels_msk, outpost",5
25,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, outpost",6
26,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
27,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, outpost",6
28,object_norm,bs_imper_elements,"bot_ship, bs_imper_elements, bs_imper_elements_msk",6
29,object_norm,crs_plates03,"bot_ship, crs_plates03, crs_plates03_msk",6
30,object_norm,bs_communications_02,"bot_ship, bs_communications_02, bs_communications_02_msk",6
31,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, outpost",6
32,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow, outpost",6
33,object_norm,bs_communications_01,"bot_ship, bs_communications_01, bs_communications_01_msk",6
34,object_norm,bs_shell_01_yellow,"bot_ship, bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow",6
35,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, outpost",6
36,object_norm,bs_center,"bs_center, bs_center_msk, outpost",6
37,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, outpost",6
