block,shader,diffuse_short,keywords,samplers
0,sky,fed_planet_aura_back,fed_planet_aura_back,1
1,object_norm,planet_moon,"detail_moon01, planet_moon",4
2,sky,planet_aura,planet_aura,1
3,sky,fed_planet_aura_back,fed_planet_aura_back,1
4,object_norm,planet_ilay2,planet_ilay2,3
5,sky,planet_aura,planet_aura,1
6,skybackground,asteroids_08,"asteroids_02, asteroids_08",2
7,skybackground,asteroids_06,"asteroids_04, asteroids_06",2
8,skybackground,asteroids_07,"asteroids_01, asteroids_07",2
9,skybackground,asteroids_05,"asteroids_03, asteroids_05",2
10,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station",6
11,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station",6
12,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station",6
13,object_norm,bs_imper_engines,"bot_ship, bs_imper_engines, bs_imper_engines_msk",6
14,object_norm,bs_shell_01_yellow,"bot_ship, bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow",6
15,object_norm,bs_communications_01,"bot_ship, bs_communications_01, bs_communications_01_msk",6
16,object_norm,bs_communications_02,"bot_ship, bs_communications_02, bs_communications_02_msk",6
17,object_norm,bs_shell_01,"bot_ship, bs_shell_01, bs_shell_01_msk",6
18,object_norm,bs_shell_02,"bot_ship, bs_shell_02, bs_shell_02_msk",6
19,object_norm,cable01,"bot_ship, cable01",5
20,object_norm,bs_imper_elements,"bot_ship, bs_imper_elements, bs_imper_elements_msk",6
21,object_norm,is_details,"is_details, is_details_msk, station_center",6
22,object_norm,is_communications,"is_communications, is_communications_msk, station_center",5
23,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station_center",6
24,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station_center",6
25,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_center",6
26,object_norm,bs_center,"bs_center, bs_center_msk, station",6
27,object_norm,is_communications,"is_communications, is_communications_msk, station",5
28,object_norm,is_details,"is_details, is_details_msk, station",6
29,object_norm,is_panels,"is_panels, is_panels_msk, station",5
30,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station",6
31,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
32,animated_mock,gate_scroll,"gate, gate_scroll",2
33,object_norm,wall05,"hangar, wall05",4
34,object_norm,gates,"gates, hangar",4
35,object_norm,wall01,"hangar, wall01",4
36,object_norm,wires,"hangar, wires",4
37,object_norm,linewind,"hangar, linewind",5
38,object_norm,wall06,"hangar, wall06",4
39,object_norm,wall02,"hangar, wall02, wall02_msk",5
40,object_norm,cockpit,"cockpit, hangar, wall06",4
41,object_norm,runway,"hangar, runway, wall06",4
42,object_norm,ceiling01,"ceiling01, hangar",5
43,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, hangar",6
44,object_norm,is_panels,"is_panels, is_panels_msk, station_center",5
45,object_norm,bs_center,"bs_center, bs_center_msk, station_center",6
46,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, station_center",6
47,animated_mock,fed_elluminate,fed_elluminate,2
48,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station_center",6
49,object_norm,is_communications,"is_communications, is_communications_msk, station_center",5
50,object_norm,is_panels,"is_panels, is_panels_msk, station_center",5
51,object_norm,is_details,"is_details, is_details_msk, station_center",6
52,animated_mock,garland_ramp,"garland_ramp, laserbeam",2
53,animated_mock,garland_ramp,"garland_ramp, sparkspew",2
54,skybackground,dreadnought,dreadnought,2
