block,shader,diffuse_short,keywords,samplers
0,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
1,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station",6
2,object_norm,js_individual_details,"js_individual_details, station",6
3,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station",6
4,object_norm,bs_center,"bs_center, bs_center_msk, station",6
5,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station",6
6,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, station",5
7,object_norm,crs_set01,"crs_set01, crs_set01_msk, debris, plates_detail",6
8,object_norm,crs_plates04,"crs_plates04, debris, plates_detail",5
9,object_norm,crs_detplates,"crs_detplates, crs_detplates_msk, debris",6
10,object_norm,crs_plates_brk01,"crs_plates_brk01, crs_plates_brk01_msk, debris, plates_detail",6
11,object_norm,crs_set02,"crs_set02, crs_set02_msk, debris, plates_detail",6
12,object_norm,crs_set03,"crs_set03, crs_set03_msk, debris, plates_detail",6
13,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, debris",6
14,animated_mock,affect_animate,"affect, affect_animate",2
15,animated_mock,affect_animate,"affect_animate, gate_scroll_red",2
16,animated_mock,affect_animate,"affect, affect_animate",2
