block,shader,diffuse_short,keywords,samplers
0,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
1,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, jer_station",6
2,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, jer_station",5
3,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, jer_station",6
4,object_norm,js_individual_details,"jer_station, js_individual_details",6
5,object_norm,bs_center,"bs_center, bs_center_msk, jer_station",6
6,skybackground,gasgiant_rings,gasgiant_rings,1
7,skybackground,gasplanet,gasplanet,1
8,skybackground,jer_main,jer_main,1
9,sky,aura,aura,1
10,animated_mock,affect_animate,"affect, affect_animate",2
11,animated_mock,affect_animate,"affect, affect_animate",2
12,object_norm,crs_set01,"crs_set01, crs_set01_msk, jer_station, plates_detail",6
13,object_norm,crs_plates_brk01,"crs_plates_brk01, crs_plates_brk01_msk, jer_station, plates_detail",6
14,object_norm,crs_set02,"crs_set02, crs_set02_msk, jer_station, plates_detail",6
15,object_norm,crs_set03,"crs_set03, crs_set03_msk, jer_station, plates_detail",6
16,object_norm,crs_plates04,"crs_plates04, jer_station, plates_detail",5
17,object_norm,crs_detplates,"crs_detplates, crs_detplates_msk, jer_station",6
18,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, jer_station",6
19,sky,aura,aura,1
