block,shader,diffuse_short,keywords,samplers
0,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, jer_hub",6
1,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, jer_hub",6
2,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow, jer_hub",6
3,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, jer_hub",6
4,object_norm,bs_center,"bs_center, bs_center_msk, jer_hub",6
5,object_norm,crs_plates03,"crs_plates03, crs_plates03_msk, jer_hub",6
6,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
7,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, jer_station",6
8,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, jer_station",5
9,object_norm,js_individual_details,"jer_station, js_individual_details",6
10,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, jer_station",5
11,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, jer_station",6
12,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, jer_station",6
13,object_norm,bs_center,"bs_center, bs_center_msk, jer_station",6
14,object_norm,js_individual_details,"jer_station, js_individual_details",6
15,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, jer_station",5
16,object_norm,js_individual_details,"jer_station, js_individual_details",6
17,object_norm,js_individual_details,"jer_station, js_individual_details",6
18,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, jer_station",5
19,skybackground,gasgiant_rings,gasgiant_rings,1
20,skybackground,gasplanet,gasplanet,1
21,sky,aura,aura,1
22,skybackground,jer_main,jer_main,1
23,sky,aura,aura,1
24,object_norm,linewind,"hangar, linewind, linewind_jer",5
25,object_norm,gates,"gates, hangar",4
26,object_norm,jer_wall01,"hangar, jer_wall01, jer_wall01_msk",5
27,object_norm,jer_wall_line01,"hangar, jer_wall_line01, jer_wall_line01_msk",5
28,animated_mock,gate_scroll_red,"gate, gate_scroll_red",2
29,animated_mock,gate_scroll_red,gate_scroll_red,2
30,object_norm,gates,"gates, hangar",4
31,animated_mock,affect_animate,"affect, affect_animate",2
32,animated_mock,affect_animate,"affect, affect_animate",2
33,animated_mock,affect_animate,"affect_animate, gate_scroll_red",2
34,animated_mock,affect_animate,"affect, affect_animate",2
35,animated_mock,garland_ramp,"garland_ramp, laserbeam",2
36,animated_mock,garland_ramp,"garland_ramp, sparkspew",2
37,skybackground,dreadnought,dreadnought,2
38,skybackground,asteroids_06,"asteroids_04, asteroids_06",2
39,skybackground,asteroids_07,"asteroids_01, asteroids_07",2
40,skybackground,asteroids_08,"asteroids_02, asteroids_08",2
41,skybackground,asteroids_05,"asteroids_03, asteroids_05",2
