block,shader,diffuse_short,keywords,samplers
0,object_norm,bs_center,"bs_center, bs_center_msk, station_02",6
1,object_norm,js_individual_details,"js_individual_details, station_02",6
2,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_02",6
3,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, station_02",5
4,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station_02",6
5,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station_04",6
6,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, station_04",5
7,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_04",6
8,object_norm,js_individual_details,"js_individual_details, station_04",6
9,object_norm,bs_center,"bs_center, bs_center_msk, station_04",6
10,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station_04",6
11,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station_02",6
12,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
13,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station",6
14,object_norm,bs_imper_engines,"bs_imper_engines, bs_imper_engines_msk, station",6
15,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, station",5
16,object_norm,is_panels,"is_panels, is_panels_msk, station",5
17,object_norm,is_details,"is_details, is_details_msk, station",6
18,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, station",6
19,object_norm,minig_room,"minig_room, minig_room02, minig_room_msk, station",6
20,object_norm,js_individual_details,"js_individual_details, station_02",6
21,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, station_02",5
22,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_03",6
23,object_norm,js_individual_details,"js_individual_details, station_03",6
24,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station_03",6
25,object_norm,bs_center,"bs_center, bs_center_msk, station_03",6
26,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station_03",6
27,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, station_03",5
28,object_norm,crs_set01,"crs_set01, crs_set01_msk, plates_detail, wrecks",6
29,object_norm,crs_set01,"crs_set01, crs_set01_msk, plates_detail, station_02",6
30,object_norm,crs_set02,"crs_set02, crs_set02_msk, plates_detail, wrecks",6
31,object_norm,crs_set03,"crs_set03, crs_set03_msk, plates_detail, wrecks",6
32,object_norm,crs_plates_brk01,"crs_plates_brk01, crs_plates_brk01_msk, plates_detail, wrecks",6
33,object_norm,crs_detplates,"crs_detplates, crs_detplates_msk, wrecks",6
34,object_norm,crs_plates04,"crs_plates04, plates_detail, wrecks",5
35,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, wrecks",6
36,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, station_03",5
37,object_norm,js_individual_details,"js_individual_details, station_03",6
38,object_norm,cable01,"cable01, station",5
39,object_norm,is_communications,"is_communications, is_communications_msk, station",5
40,object_norm,bs_center,"bs_center, bs_center_msk, station",6
41,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, station",5
42,animated_mock,affect_animate,"affect, affect_animate",2
43,animated_mock,affect_animate,"affect, affect_animate",2
44,animated_mock,affect_animate,"affect, affect_animate",2
