block,shader,diffuse_short,keywords,samplers
0,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
1,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, constr2",6
2,object_norm,fed_plates01,"constr2, fed_plates01, fed_plates01_msk",5
3,object_norm,is_panels,"constr2, is_panels, is_panels_msk",5
4,object_norm,fed_mix01,"constr2, fed_mix01, fed_mix01_msk",6
5,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, constr2",6
6,blank_object,-,-,0
7,object_norm,bs_center,"bs_center, bs_center_msk, constr2",6
8,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, constr2",5
9,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, constr2",6
10,object_norm,bs_center,"bs_center, bs_center_msk, constr3",6
11,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, constr3",6
12,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, constr",6
13,object_norm,is_panels,"constr3, is_panels, is_panels_msk",5
14,object_norm,fed_plates01,"constr, fed_plates01, fed_plates01_msk",5
15,object_norm,is_panels,"constr, is_panels, is_panels_msk",5
16,object_norm,fed_mix01,"constr, fed_mix01, fed_mix01_msk",6
17,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, constr",6
18,object_norm,bs_center,"bs_center, bs_center_msk, constr",6
19,animated_mock,static_shield01,static_shield01,1
20,animated_mock,gate_scroll,"gate_mask02, gate_scroll",2
21,animated_mock,monitor_pixel,"fed_elluminate, monitor_pixel",2
22,object_norm,fed_mix01,"constr3, fed_mix01, fed_mix01_msk",6
