block,shader,diffuse_short,keywords,samplers
0,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
1,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, wrecks",6
2,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, wrecks",6
3,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, wrecks",5
4,skybackground,asteroids_02,asteroids_02,2
5,skybackground,asteroids_01,asteroids_01,2
6,skybackground,asteroids_04,asteroids_04,2
7,skybackground,asteroids_03,asteroids_03,2
8,object_norm,crs_set01,"crs_set01, crs_set01_msk, plates_detail, wrecks",6
9,object_norm,crs_plates_brk01,"crs_plates_brk01, crs_plates_brk01_msk, plates_detail, wrecks",6
10,object_norm,crs_set02,"crs_set02, crs_set02_msk, plates_detail, wrecks",6
11,object_norm,crs_plates04,"crs_plates04, plates_detail, wrecks",5
12,object_norm,crs_detplates,"crs_detplates, crs_detplates_msk, wrecks",6
13,object_norm,crs_set03,"crs_set03, crs_set03_msk, plates_detail, wrecks",6
14,sky,red_giant,red_giant,1
