block,shader,diffuse_short,keywords,samplers
0,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
1,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, jer_station_01",6
2,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, jer_station_01",6
3,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, jer_station_01",5
4,object_norm,js_individual_details,"jer_station_01, js_individual_details",6
5,object_norm,bs_center,"bs_center, bs_center_msk, jer_station_01",6
6,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, jer_station_01",5
7,object_norm,js_individual_details,"jer_station_01, js_individual_details",6
8,sky,red_giant,red_giant,1
9,skybackground,jer_station,jer_station,2
10,skybackground,asteroids_04,asteroids_04,2
11,skybackground,asteroids_02,asteroids_02,2
12,skybackground,asteroids_01,asteroids_01,2
