block,shader,diffuse_short,keywords,samplers
0,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
1,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, jer_station2",6
2,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, jer_station2",6
3,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, jer_station2",5
4,object_norm,js_individual_details,"jer_station2, js_individual_details",6
5,object_norm,bs_center,"bs_center, bs_center_msk, jer_station2",6
6,object_norm,js_individual_details,"jer_station2, js_individual_details",6
7,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, jer_station2",6
8,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, jer_station2",5
9,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, jer_station",6
10,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, jer_station",5
11,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, jer_station",6
12,object_norm,js_individual_details,"jer_station, js_individual_details",6
13,object_norm,bs_center,"bs_center, bs_center_msk, jer_station",6
14,object_norm,js_individual_details,"jer_station, js_individual_details",6
15,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, jer_station",6
16,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, jer_station",5
17,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, jer_station",6
18,object_norm,bs_center,"bs_center, bs_center_msk, jer_station2",6
19,sky,red_giant,red_giant,1
20,object_norm,jer_main_02,jer_main_02,3
21,sky,fed_planet_aura_back_02,fed_planet_aura_back_02,1
22,sky,aura,aura,1
23,animated_mock,affect_animate,"affect, affect_animate",2
24,animated_mock,affect_animate,"affect_animate, gate_scroll_red",2
25,animated_mock,affect_animate,"affect, affect_animate",2
26,animated_mock,affect_animate,"affect_animate, spectrate_bg",2
27,animated_mock,affect_animate,"affect_animate, spectrate_bg",2
28,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk",5
29,animated_mock,affect_animate,"affect, affect_animate",2
30,skybackground,jer_main_sky,jer_main_sky,2
31,sky,jer_main_lightning_animate,"jer_main_lightning, jer_main_lightning_animate",2
32,skybackground,jer_main_lightning,jer_main_lightning,1
33,animated_mock,affect_animate,"affect_animate, laser",2
34,animated_mock,affect_animate,"affect_animate, laser",2
35,sky,fire_planet_animate,"fire_planet, fire_planet_animate",2
36,skybackground,jer_station,jer_station,2
37,skybackground,asteroids_04,asteroids_04,2
38,skybackground,asteroids_02,asteroids_02,2
39,skybackground,asteroids_01,asteroids_01,2
