block,shader,diffuse_short,keywords,samplers
0,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, wrecks",6
1,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, wrecks",6
2,object_norm,crs_set01,"crs_set01, crs_set01_msk, plates_detail, wrecks",6
3,object_norm,crs_set02,"crs_set02, crs_set02_msk, plates_detail, wrecks",6
4,object_norm,icerock01,"icerock01, icerock01_msk, wrecks",5
5,object_norm,bs_center,"bs_center, bs_center_msk, wrecks",6
6,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, wrecks",6
7,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, wrecks",6
8,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, wrecks",6
9,object_norm,crs_plates_brk01,"crs_plates_brk01, crs_plates_brk01_msk, plates_detail, wrecks",6
10,object_norm,crs_plates04,"crs_plates04, plates_detail, wrecks",5
11,object_norm,crs_detplates,"crs_detplates, crs_detplates_msk, wrecks",6
12,object_norm,crs_set03,"crs_set03, crs_set03_msk, plates_detail, wrecks",6
13,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, wrecks",6
14,object_norm,icerock01,"ice, icerock01, icerock01_msk",5
15,object_norm,icerock01,"icerock01, icerock01_msk, station",5
16,animated_mock,static_shield02,static_shield02,1
17,animated_mock,static_shield01,static_shield01,1
18,animated_mock,gate_scroll,gate_scroll,2
19,object_norm,bs_communications_02_white,"bs_communications_02, bs_communications_02_msk, bs_communications_02_white",5
20,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk",5
21,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station",6
22,object_norm,truba_02,"station, truba_02, truba_02_msk",5
23,object_norm,truba_01,"station, truba_01, truba_01_msk",5
24,object_norm,minig_room,"minig_room, minig_room_msk, station",6
25,object_norm,minig_room02,"minig_room02, minig_room02_msk, station",6
26,object_norm,bs_communications_02_white,"bs_communications_02, bs_communications_02_msk, bs_communications_02_white, station",6
27,animated_mock,affect_01,affect_01,1
28,object_norm,minig_room02,"minig_room02, minig_room02_msk",5
29,object_norm,fed_mix01,"fed_mix01, fed_mix01_msk, station",6
30,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station",6
31,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, station",5
32,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station",6
33,animated_mock,inner,inner,1
34,animated_mock,gate_scroll,"gate_mask02, gate_scroll",2
35,animated_mock,gate_scroll,"gate_mask02, gate_scroll",2
36,object_norm,fed_city01,"fed_city01, fed_city01_msk, station",6
