block,shader,diffuse_short,keywords,samplers
0,skybackground,temperate_surface_det,"mainlands, temperate_surface, temperate_surface_det",3
1,skybackground,mainlands_cm,mainlands_cm,1
2,sky,clouds_shadow,clouds_shadow,1
3,skybackground,clouds,"clouds, clouds_cm",3
4,sky,atmosphere,atmosphere,1
5,sky,ceres_aura,ceres_aura,1
6,skybackground,fed_station_01,"fed_station_01, fed_station_01_norm",2
7,skybackground,fed_station_02,"fed_station_02, fed_station_02_norm",2
8,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, station02",5
9,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, station03",5
10,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, station01",5
11,object_norm,wall05,"station02, wall05",4
12,object_norm,linewind,"linewind, station02",5
13,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station02",6
14,object_norm,gates,"gates, station02",4
15,object_norm,jer_wall01,"jer_wall01, jer_wall01_msk, station02",5
16,animated_mock,bg_fog,bg_fog,1
17,object_norm,fed_plt01,"fed_plt01, fed_plt01_msk, station02",5
18,object_norm,dock_federeation_base,"dock_federeation_base, dock_federeation_base_msk, station02",6
19,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station02",6
20,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station02",6
21,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, station02",5
22,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station02",6
23,object_norm,fed_mix01,"fed_mix01, fed_mix01_msk, station02",6
24,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station02",6
25,object_norm,fed_mix01,"fed_mix01, fed_mix01_msk, station03",6
26,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station03",6
27,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, station03",5
28,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station03",6
29,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station03",6
30,object_norm,is_communications,"is_communications, is_communications_msk, station03",5
31,object_norm,bs_center,"bs_center, bs_center_msk, station03",6
32,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station03",6
33,object_norm,is_details,"is_details, is_details_msk, station03",6
34,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station03",6
35,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station03",6
36,object_norm,is_panels,"is_panels, is_panels_msk, station03",5
37,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station03",6
38,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, station01",5
39,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station01",6
40,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station01",6
41,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station01",6
42,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station01",6
43,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station01",6
44,object_norm,is_details,"is_details, is_details_msk, station01",6
45,object_norm,is_communications,"is_communications, is_communications_msk, station01",5
46,object_norm,is_panels,"is_panels, is_panels_msk, station01",5
47,object_norm,bs_center,"bs_center, bs_center_msk, station01",6
48,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station01",6
49,animated_mock,monitor_pixel,"fed_elluminate, monitor_pixel",2
50,animated_mock,inner,inner,1
51,animated_mock,gate_scroll,"gate_mask02, gate_scroll",2
52,object_norm,fed_city01,"fed_city01, fed_city01_msk, station_inner",6
53,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_big",6
54,object_norm,fed_mix01,"fed_mix01, fed_mix01_msk, station_big",6
55,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, station_big",5
56,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_big",6
57,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_big",6
58,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station_big",6
59,object_norm,bs_communications_02_inner,"bs_communications_02, bs_communications_02_inner, bs_communications_02_msk, station_big",5
60,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_big",6
61,object_norm,crs_set01,"crs_set01, crs_set01_msk, plates_detail, station03",6
62,animated_mock,fed_elluminate,fed_elluminate,2
63,animated_mock,fed_elluminate,fed_elluminate,2
64,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station01",6
65,skybackground,back_ships_small,"back_ships_fon, back_ships_small",2
66,skybackground,back_ships_trails,"back_ships_fon_trails, back_ships_trails",2
67,animated_mock,garland_ramp,"garland_ramp, laserbeam",2
68,skybackground,back_ships_engine_fon,"back_ships_engine_fon, engine_glow_dron",2
69,skybackground,dreadnought,dreadnought,2
70,skybackground,back_ships_small,"back_ships_fon, back_ships_small",2
71,skybackground,back_ships_trails,"back_ships_fon_trails, back_ships_trails",2
72,animated_mock,garland_ramp,"garland_ramp, sparkspew_usd_blue",2
