block,shader,diffuse_short,keywords,samplers
0,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
1,object_norm,crs_set01,"crs_set01, crs_set01_msk, plates_detail, ship02",6
2,object_norm,crs_set02,"crs_set02, crs_set02_msk, plates_detail, ship02",6
3,object_norm,crs_plates04,"crs_plates04, plates_detail, ship02",5
4,object_norm,crs_detplates,"crs_detplates, crs_detplates_msk, ship02",6
5,object_norm,crs_plates_brk01,"crs_plates_brk01, crs_plates_brk01_msk, plates_detail, ship02",6
6,object_norm,asteroid_lava01,"asteroid_detail01, asteroid_hole01, asteroid_lava01, asteroids",6
7,object_norm,crs_set03,"crs_set03, crs_set03_msk, plates_detail, ship02",6
8,object_norm,crs_plates_brk01,"crs_plates_brk01, crs_plates_brk01_msk, plates_detail, ship02_details",6
9,object_norm,crs_detplates,"crs_detplates, crs_detplates_msk, ship02_details",6
10,object_norm,crs_plates04,"crs_plates04, plates_detail, ship02_details",5
