block,shader,diffuse_short,keywords,samplers
0,object_norm,details,"details, details_msk, models_01",5
1,object_norm,rukzak2,"models_01, rukzak, rukzak2",5
2,object_norm,bartle,"bartle, bartle_msk, models_01",5
3,object_norm,sharik,"sharik, sharik_msk",4
4,object_norm,color,"color, color_msk, models_01",5
5,animated_mock,decal,decal,1
6,object_norm,color,"color, color_msk, detail1, models_01",6
7,object_norm,color,"color, color_msk",4
8,blank_object,color,color,1
9,blank_object,-,-,0
10,object_norm,paper,"models_01, paper, papers, papers_msk",5
11,object_norm,sharik,"models_01, sharik, sharik_msk",5
12,object_norm,rukzak,"models_01, rukzak",5
13,blank_object,-,-,0
14,object_norm,paper,"models_01, paper, paper_msk",5
15,blank_object,color,color,1
16,animated_mock,decal,decal,1
