block,shader,diffuse_short,keywords,samplers
0,object_norm,rocks,"rock01_detail, rocks, rocks_msk, ship_rec_scroll",6
1,blank_object,-,-,0
2,object_norm,rocks,"rock01_detail, rocks, rocks_msk, ship_rec_scroll",6
3,animated_mock,sc_cubes02_green,"sc_cubes02_green, sc_plates01",2
4,animated_mock,sc_cubes02_green,"sc_cubes02_green, sc_plates01",2
5,animated_mock,ship_rec_scroll,"prec_ship, ship_rec_scroll",2
6,object_norm,sc_cubes02,"plates_detail, sc_cubes02, sc_cubes02_green, sc_cubes02_msk",6
7,object_norm,sc_cubes,"plates_detail, sc_cubes, sc_cubes_msk",5
8,object_norm,sc_plates02,"plates_detail, sc_plates02, sc_plates02_msk",5
9,object_norm,sc_plates01,"plates_detail, sc_plates01, sc_plates01_msk",6
10,object_norm,sc_elements01,"sc_elements01, sc_elements01_msk",4
11,object_norm,bs_imper_engines,"bs_imper_engines, bs_imper_engines_msk",5
12,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk_sc_dark",5
13,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk_sc_dark",5
14,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk",5
15,object_norm,bs_center,"bs_center, bs_center_msk_sc_dark",5
16,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk",5
17,object_norm,wall05,wall05,3
18,object_norm,gates,gates,3
19,object_norm,wall01,wall01,3
20,object_norm,wires,wires,3
21,object_norm,wall02,"wall02, wall02_msk",4
22,object_norm,linewind,linewind,4
23,object_norm,wall06,wall06,3
24,object_norm,wall07,wall07,3
25,object_norm,cockpit,"cockpit, wall06",3
26,object_norm,runway,"runway, wall06",3
27,object_norm,ceiling01,ceiling01,4
28,animated_mock,ramp_for_mock_16,"ramp_for_mock_16, strips_fon",2
29,animated_mock,ramp_for_mock_16,"industrial_fx2_blue, ramp_for_mock_16",2
30,animated_mock,gate_scroll,"gate_scroll, strips_fon_shield",2
31,animated_mock,ramp_for_mock_16,"dreadnought_strips, ramp_for_mock_16",2
32,object_norm,bs_imper_engines,"bs_imper_engines, bs_imper_engines_msk",5
33,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk",5
34,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow",5
35,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk",5
36,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk",5
37,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk",5
38,object_norm,bs_center,"bs_center, bs_center_msk",5
39,object_norm,cable01,cable01,4
40,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk",5
41,animated_mock,affect_animate,"affect_animate, cable01",2
42,animated_mock,gate_scroll,"gate, gate_scroll",2
