block,shader,diffuse_short,keywords,samplers
0,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, ships_elements",6
1,object_norm,bs_imper_engines,"bs_imper_engines, bs_imper_engines_msk, ships_elements",6
2,object_norm,bs_center,"big_ship, bs_center, bs_center_msk",6
3,object_norm,bs_communications_02,"big_ship, bs_communications_02, bs_communications_02_msk",6
4,object_norm,bs_communications_01,"big_ship, bs_communications_01, bs_communications_01_msk",6
5,object_norm,bs_shell_01,"big_ship, bs_shell_01, bs_shell_01_msk",6
6,object_norm,bs_shell_02,"big_ship, bs_shell_02, bs_shell_02_msk",6
7,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, scaffold",6
8,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, scaffold",6
9,object_norm,wall05,"hangar, wall05",4
10,object_norm,gates,"gates, hangar",4
11,object_norm,wall01,"hangar, wall01",4
12,object_norm,wires,"hangar, wires",4
13,object_norm,linewind,"hangar, linewind",5
14,object_norm,wall06,"hangar, wall06",4
15,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, hangar",6
16,object_norm,wall02,"hangar, wall02, wall02_msk",5
17,object_norm,cockpit,"cockpit, hangar, wall06",4
18,object_norm,runway,"hangar, runway, wall06",4
19,object_norm,ceiling01,"ceiling01, hangar",5
20,object_norm,crs_plates02,"crs_plates02, crs_plates02_msk, jer_outpost",5
21,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, jer_outpost",6
22,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, jer_outpost",6
23,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow, jer_outpost",6
24,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, jer_outpost",6
25,object_norm,bs_center,"bs_center, bs_center_msk, jer_outpost",6
26,object_norm,crs_plates03,"crs_plates03, crs_plates03_msk, jer_outpost",6
27,object_norm,bs_communications_01,"bot_ship_elements, bs_communications_01, bs_communications_01_msk",6
28,object_norm,bs_shell_01_yellow,"bot_ship_elements, bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow",6
29,object_norm,bs_communications_02,"bot_ship_elements, bs_communications_02, bs_communications_02_msk",6
30,object_norm,crs_plates03,"crs_plates03, crs_plates03_msk, new_station",6
31,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, new_station",6
32,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, new_station",6
33,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow, new_station",6
34,object_norm,cable01,"big_ship_schlange, cable01",5
35,object_norm,bs_imper_elements,"big_ship_schlange, bs_imper_elements, bs_imper_elements_msk",6
36,object_norm,bs_shell_01,"bot_ship_elements, bs_shell_01, bs_shell_01_msk",6
37,object_norm,bs_shell_02,"bot_ship_elements, bs_shell_02, bs_shell_02_msk",6
38,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, jer_outpost",6
39,object_norm,bs_imper_engines,"bs_imper_engines, bs_imper_engines_msk, jer_outpost",6
40,object_norm,asteroid_hole01,"asteroid, asteroid_detail01, asteroid_hole01",5
41,object_norm,crs_plates03,"crs_plates03, crs_plates03_msk, new_station",6
42,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, new_station",6
43,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, new_station",6
44,object_norm,is_details,"is_details, is_details_msk, new_station",6
45,object_norm,is_communications,"is_communications, is_communications_msk, new_station",5
46,object_norm,bs_center,"bs_center, bs_center_msk, new_station",6
47,object_norm,is_panels,"is_panels, is_panels_msk, new_station",5
48,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, new_station",6
49,object_norm,is_panels,"is_panels, is_panels_msk, solar",5
50,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, solar",6
51,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, solar",6
52,object_norm,is_details,"is_details, is_details_msk, solar",6
53,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, solar",6
54,animated_mock,affect_animate,"affect_animate, cable01",2
55,animated_mock,energy_scroll_blue,"energy, energy_scroll_blue",2
56,animated_mock,affect_animate,"affect_animate, bs_communications_01",2
