block,shader,diffuse_short,keywords,samplers
0,skybackground,jer_main,jer_main,1
1,sky,aura,aura,1
2,object_norm,gasgiant_close,"gasgiant_close, jer_main_02_detail",4
3,skybackground,gasgiant_gas,gasgiant_gas,2
4,skybackground,gasgiant_rings,gasgiant_rings,1
5,sky,gas_aura,gas_aura,1
6,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, jer_station",6
7,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, jer_station",6
8,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, jer_station",5
9,object_norm,js_individual_details,"jer_station, js_individual_details",6
10,object_norm,bs_center,"bs_center, bs_center_msk, jer_station",6
11,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, jer_station_2",6
12,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, jer_station_2",6
13,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, jer_station_2",5
14,object_norm,asteroid_lava01,"asteroid_detail01, asteroid_hole01, asteroid_lava01, asteroids",6
15,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_rock",6
16,animated_mock,asteroid_minnig01,asteroid_minnig01,1
17,object_norm,bs_imper_engines,"bs_imper_engines, bs_imper_engines_msk, station_rock",6
18,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, station_rock",5
19,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_rock_3",6
20,object_norm,bs_imper_engines,"bs_imper_engines, bs_imper_engines_msk, station_rock_3",6
21,object_norm,is_panels,"is_panels, is_panels_msk, station_rock_3",5
22,object_norm,is_details,"is_details, is_details_msk, station_rock_3",6
23,object_norm,is_details,"is_details, is_details_msk, station_rock",6
24,object_norm,is_panels,"is_panels, is_panels_msk, station_rock",5
25,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, station_rock",6
26,object_norm,minig_room,"minig_room, minig_room02, minig_room_msk, station_rock",6
27,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, station_rock_3",6
28,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, station_rock_3",5
29,object_norm,is_communications,"is_communications, is_communications_msk, station_rock_3",5
30,object_norm,bs_center,"bs_center, bs_center_msk, station_rock",6
31,object_norm,is_communications,"is_communications, is_communications_msk, station_rock",5
32,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, station_rock",5
33,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, jer_station",6
34,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, jer_station",5
35,object_norm,js_individual_details,"jer_station, js_individual_details",6
36,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, jer_station",5
37,animated_mock,affect_animate,"affect, affect_animate",2
38,object_norm,js_individual_details,"jer_station_2, js_individual_details",6
39,skybackground,asteroids_02,asteroids_02,2
40,skybackground,jer_station,jer_station,2
41,skybackground,asteroids_01,asteroids_01,2
42,skybackground,asteroids_04,asteroids_04,2
43,skybackground,asteroids_03,asteroids_03,2
44,animated_mock,affect_animate,"affect, affect_animate",2
45,object_norm,minig_room,"minig_room, minig_room02, minig_room_msk, station_rock_3",6
46,object_norm,minig_room02,"minig_room02, minig_room02_msk, station_rock_3",6
47,animated_mock,affect_01,affect_01,1
48,object_norm,truba_01,"station_rock_3, truba_01, truba_01_msk",5
49,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station_rock_3",6
50,object_norm,jer_plates01,"jer_plates01, jer_plates01_msk, station_rock_3",5
51,object_norm,js_individual_details,"js_individual_details, station_rock_3",6
52,object_norm,bs_center,"bs_center, bs_center_msk, station_rock_3",6
53,animated_mock,affect_animate,"affect, affect_animate",2
54,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station_rock_3",6
55,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_rock_2",6
56,object_norm,is_details,"is_details, is_details_msk, station_rock_2",6
57,object_norm,bs_imper_engines,"bs_imper_engines, bs_imper_engines_msk, station_rock_2",6
58,object_norm,is_panels,"is_panels, is_panels_msk, station_rock_2",5
59,object_norm,bs_communications_02_white,"bs_communications_02, bs_communications_02_msk, bs_communications_02_white, station_rock_2",6
60,object_norm,minig_room,"minig_room, minig_room02, minig_room_msk, station_rock_2",6
61,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, station_rock_2",6
62,animated_mock,city_lights,"city_lights, is_details",2
63,animated_mock,city_lights,"city_lights, js_individual_details",2
64,animated_mock,city_lights,"city_lights, js_individual_details",2
65,animated_mock,city_lights,"city_lights, js_individual_details",2
66,animated_mock,energy_scroll,"energy, energy_scroll",2
