block,shader,diffuse_short,keywords,samplers
0,object_norm,is_panels,"is_panels, is_panels_msk, station_03",5
1,object_norm,is_details,"is_details, is_details_msk, station_03",6
2,object_norm,is_communications,"is_communications, is_communications_msk, station_03",5
3,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station_03",6
4,object_norm,bs_center,"bs_center, bs_center_msk, station_03",6
5,object_norm,is_panels,"is_panels, is_panels_msk, station_03",5
6,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_03",6
7,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station_03",5
8,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_04",6
9,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, station_04",5
10,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station_04",6
11,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station_04",6
12,object_norm,fed_mix01,"fed_mix01, fed_mix01_msk, station_04",6
13,animated_mock,inner,inner,1
14,animated_mock,gate_scroll,"gate_mask02, gate_scroll",2
15,object_norm,fed_city01,"fed_city01, fed_city01_msk, station_04",6
16,animated_mock,inner,inner,1
17,animated_mock,gate_scroll,"gate_mask02, gate_scroll",2
18,object_norm,is_communications,"is_communications, is_communications_msk, station_02",5
19,object_norm,is_panels,"is_panels, is_panels_msk, station_02",5
20,object_norm,is_details,"is_details, is_details_msk, station_02",6
21,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_02",6
22,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station_02",6
23,object_norm,is_panels,"is_panels, is_panels_msk, station_02",5
24,object_norm,bs_center,"bs_center, bs_center_msk, station_02",6
25,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station_02",6
26,animated_mock,fed_elluminate,fed_elluminate,2
27,object_norm,fed_mix01,"fed_mix01, fed_mix01_msk, station_02",6
28,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station_02",5
29,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, station_02",5
30,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_01",6
31,animated_mock,fed_elluminate,fed_elluminate,2
32,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station_01",6
33,object_norm,is_details,"is_details, is_details_msk, station_01",6
34,object_norm,is_communications,"is_communications, is_communications_msk, station_01",5
35,object_norm,bs_center,"bs_center, bs_center_msk, station_01",6
36,object_norm,is_panels,"is_panels, is_panels_msk, station_01",5
37,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station_01",6
38,object_norm,is_panels,"is_panels, is_panels_msk, station_01",5
39,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, station_01",5
40,object_norm,fed_mix01,"fed_mix01, fed_mix01_msk, station_01",6
41,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station_01",5
42,object_norm,is_panels,"is_panels, is_panels_msk, station_04",5
43,object_norm,is_details,"is_details, is_details_msk, station_04",6
44,object_norm,is_communications,"is_communications, is_communications_msk, station_04",5
45,object_norm,bs_center,"bs_center, bs_center_msk, station_04",6
46,object_norm,is_panels,"is_panels, is_panels_msk, station_04",5
47,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station_04",5
48,animated_mock,fed_elluminate,fed_elluminate,2
49,object_norm,crs_set01,"crs_set01, crs_set01_msk, plates_detail, station_04",6
50,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, station_03",5
51,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_03",6
52,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, station_03",5
53,skybackground,temperate_surface_det,"mainlands, temperate_surface, temperate_surface_det",3
54,skybackground,mainlands_cm,mainlands_cm,1
55,sky,clouds_shadow,clouds_shadow,1
56,skybackground,clouds,"clouds, clouds_cm",3
57,sky,atmosphere,atmosphere,1
58,sky,ceres_aura,ceres_aura,1
59,skybackground,fed_station_01,"fed_station_01, fed_station_01_norm",2
60,skybackground,fed_station_02,"fed_station_02, fed_station_02_norm",2
61,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, station_01",5
62,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, station_02",5
63,object_norm,fed_mix01,"fed_mix01, fed_mix01_msk, station_03",6
