block,shader,diffuse_short,keywords,samplers
0,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, outpost",6
1,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, outpost",6
2,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
3,object_norm,crs_set01,"crs, crs_set01, crs_set01_msk, plates_detail",6
4,object_norm,crs_set03,"crs, crs_set03, crs_set03_msk, plates_detail",6
5,object_norm,crs_plates_brk01,"crs, crs_plates_brk01, crs_plates_brk01_msk, plates_detail",6
6,object_norm,crs_plates04,"crs, crs_plates04, plates_detail",5
7,object_norm,crs_detplates,"crs, crs_detplates, crs_detplates_msk",6
8,object_norm,crs_set02,"crs, crs_set02, crs_set02_msk, plates_detail",6
9,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, wrecks",6
10,object_norm,bs_imper_engines,"bs_imper_engines, bs_imper_engines_msk, wrecks",6
11,object_norm,bs_center,"bs_center, bs_center_msk, wrecks",6
12,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, wrecks",6
13,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, wrecks",6
14,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, wrecks",6
15,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, wrecks",6
16,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, outpost",6
17,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, outpost",6
18,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, outpost",6
19,object_norm,crs_plates03,"crs_plates03, crs_plates03_msk, outpost",6
20,object_norm,bs_center,"bs_center, bs_center_msk, outpost",6
