block,shader,diffuse_short,keywords,samplers
0,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, geostation02",6
1,object_norm,bs_communications_02,"big_ship, bs_communications_02, bs_communications_02_msk",6
2,object_norm,bs_imper_engines,"big_ship, bs_imper_engines, bs_imper_engines_msk",6
3,object_norm,bs_shell_01_yellow,"big_ship, bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow",6
4,object_norm,bs_communications_01,"big_ship, bs_communications_01, bs_communications_01_msk",6
5,object_norm,bs_shell_02,"big_ship, bs_shell_02, bs_shell_02_msk",6
6,object_norm,bs_shell_01,"big_ship, bs_shell_01, bs_shell_01_msk",6
7,object_norm,is_details,"geostation02, is_details, is_details_msk",6
8,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, geostation02",6
9,object_norm,is_communications,"geostation, is_communications, is_communications_msk",5
10,object_norm,bs_center,"bs_center, bs_center_msk, geostation",6
11,object_norm,is_communications,"geostation02, is_communications, is_communications_msk",5
12,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, geostation",6
13,object_norm,is_details,"geostation, is_details, is_details_msk",6
14,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, geostation",6
15,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, geostation",6
16,object_norm,bs_center,"bs_center, bs_center_msk, geostation02",6
17,object_norm,is_panels,"geostation02, is_panels, is_panels_msk",5
18,object_norm,is_panels,"geostation, is_panels, is_panels_msk",5
19,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, geostation02",6
20,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, geostation",6
21,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, geostation02",6
22,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
23,object_norm,asteroid_mining01,"asteroid_detail01, asteroid_mining01, asteroids",6
24,object_norm,asteroid_crack01,"asteroid_crack01, asteroid_detail01, asteroids",6
25,animated_mock,bob_anim,"bob_anim, monitor_pixel",2
26,animated_mock,monitor,"monitor, monitor_strokes",2
