block,shader,diffuse_short,keywords,samplers
0,object_norm,bs_shell_02_green,"bs_shell_02, bs_shell_02_green, bs_shell_02_msk, station1",6
1,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station1",6
2,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station1",6
3,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
4,object_norm,is_details,"is_details, is_details_msk, station1",6
5,object_norm,is_communications,"is_communications, is_communications_msk, station1",5
6,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station1",6
7,object_norm,bs_center,"bs_center, bs_center_msk, station1",6
8,object_norm,is_panels,"is_panels, is_panels_msk, station1",5
9,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station1",6
10,object_norm,crs_plates03,"crs_plates03, crs_plates03_msk, station_mini",6
11,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_mini",6
12,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station_mini",6
13,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow, station_mini",6
14,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, station_mini",6
15,object_norm,is_communications,"is_communications, is_communications_msk, station3",5
16,object_norm,bs_center,"bs_center, bs_center_msk, station3",6
17,object_norm,is_panels,"is_panels, is_panels_msk, station3",5
18,object_norm,is_details,"is_details, is_details_msk, station3",6
19,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station3",6
20,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station3",6
21,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station3",6
22,object_norm,bs_shell_02_green,"bs_shell_02, bs_shell_02_green, bs_shell_02_msk, station3",6
23,object_norm,bs_shell_01_red,"bs_shell_01, bs_shell_01_msk, bs_shell_01_red, station3",6
24,object_norm,crs_plates02,"crs_plates02, crs_plates02_msk, station3",5
25,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow, station_mini",6
26,object_norm,crs_plates02,"crs_plates02, crs_plates02_msk, station2",5
27,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station2",6
28,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station2",6
29,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow, station2",6
30,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station2",6
31,object_norm,bs_center,"bs_center, bs_center_msk, station2",6
32,object_norm,crs_plates03,"crs_plates03, crs_plates03_msk, station2",6
33,animated_mock,monitor,"monitor, monitor_strokes",2
