block,shader,diffuse_short,keywords,samplers
0,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station1",6
1,object_norm,is_communications,"is_communications, is_communications_msk, station1",5
2,object_norm,is_panels,"is_panels, is_panels_msk, station1",5
3,object_norm,is_details,"is_details, is_details_msk, station1",6
4,object_norm,bs_center,"bs_center, bs_center_msk, station1",6
5,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station1",6
6,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station1",6
7,animated_mock,monitor,"monitor, monitor_strokes",2
8,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroids",5
9,object_norm,bs_shell_02_green,"bs_shell_02, bs_shell_02_green, bs_shell_02_msk, station1",6
10,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station1",6
11,object_norm,crs_plates03,"crs_plates03, crs_plates03_msk, station_mini",6
12,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_mini",6
13,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station_mini",6
14,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow, station_mini",6
