block,shader,diffuse_short,keywords,samplers
0,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01",4
1,animated_mock,inner,inner,1
2,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, fed_station",6
3,object_norm,bs_communications_02_inner,"bs_communications_02, bs_communications_02_inner, bs_communications_02_msk, fed_station, inner",6
4,object_norm,fed_mix01,"fed_mix01, fed_mix01_msk, fed_station",6
5,object_norm,fed_city01,"fed_city01, fed_city01_msk, fed_station",6
6,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, fed_station",5
7,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, fed_station",6
8,animated_mock,gate_scroll,"gate_mask02, gate_scroll",2
9,animated_mock,ramps,"bs_communications_01, ramps",2
10,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, fed_station",6
11,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, fed2_station",6
12,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, fed2_station",6
13,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, fed2_station",6
14,animated_mock,ramps,"fed_mix01, ramps",2
15,object_norm,is_communications,"geostation, is_communications, is_communications_msk",5
16,object_norm,bs_center,"bs_center, bs_center_msk, geostation",6
17,object_norm,is_panels,"geostation, is_panels, is_panels_msk",5
18,object_norm,is_details,"geostation, is_details, is_details_msk",6
19,object_norm,bs_center,"bs_center, bs_center_msk, geostation_big",6
20,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, geostation_big",6
21,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, geostation_big",6
22,object_norm,is_panels,"geostation_big, is_panels, is_panels_msk",5
23,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, geostation_big",6
24,object_norm,is_communications,"geostation_big, is_communications, is_communications_msk",5
25,object_norm,is_details,"geostation_big, is_details, is_details_msk",6
26,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, geostation",6
27,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, geostation",6
28,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, geostation",6
29,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, jer_outpost",6
30,object_norm,is_communications,"fed2_station, is_communications, is_communications_msk",5
31,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, fed2_station",6
32,object_norm,is_details,"fed2_station, is_details, is_details_msk",6
33,object_norm,is_panels,"fed2_station, is_panels, is_panels_msk",5
34,object_norm,fed_mix01,"fed2_station, fed_mix01, fed_mix01_msk",6
35,animated_mock,ramps,"is_details, ramps",2
36,animated_mock,ramps,"cable01, ramps",2
37,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, geostation_big",6
38,animated_mock,ramps,"is_details, ramps",2
39,object_norm,bs_center,"bs_center, bs_center_msk, fed2_station",6
40,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow, fed2_station",6
41,blank_object,-,-,0
42,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, fed_station",6
43,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, fed2_station",6
44,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, fed2_station",6
45,object_norm,fed_mix01,"fed2_station, fed_mix01, fed_mix01_msk",6
46,object_norm,fed_plates01,"fed2_station, fed_plates01, fed_plates01_msk",5
47,object_norm,bs_center,"bs_center, bs_center_msk, fed2_station",6
48,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, fed2_station",6
