block,shader,diffuse_short,keywords,samplers
0,object_norm,crs_plates03,"crs_plates03, crs_plates03_msk, station_03",6
1,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_03",6
2,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station_03",6
3,object_norm,bs_shell_01_blue,"bs_shell_01, bs_shell_01_blue, bs_shell_01_msk, station_03",6
4,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, station_03",6
5,object_norm,bs_center,"bs_center, bs_center_msk, station_03",6
6,object_norm,bs_center,"bs_center, bs_center_msk, elements",6
7,object_norm,bs_center,"big_ship, bs_center, bs_center_msk",6
8,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station_03",6
9,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, elements",6
10,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, elements",6
11,object_norm,bs_shell_01,"big_ship, bs_shell_01, bs_shell_01_msk",6
12,object_norm,bs_communications_02,"big_ship, bs_communications_02, bs_communications_02_msk",6
13,object_norm,icerock01,"asteroids, icerock01, icerock01_msk",5
14,object_norm,icerock01,"elements, icerock01, icerock01_msk",5
15,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station_02",6
16,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station_02",6
17,object_norm,bs_shell_01_blue,"bs_shell_01, bs_shell_01_blue, bs_shell_01_msk, station_02",6
18,object_norm,bs_imper_engines,"bs_imper_engines, bs_imper_engines_msk, station_03",5
19,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station_03",6
20,object_norm,cable01,"cable01, station_03",5
21,animated_mock,affect_animate,"affect_animate, cable01",2
22,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, ship",6
23,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, ship",6
24,object_norm,bs_shell_01_blue,"bs_shell_01, bs_shell_01_blue, bs_shell_01_msk, ship",6
25,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, ship",6
26,object_norm,bs_center,"bs_center, bs_center_msk, ship",6
27,object_norm,crs_plates03,"crs_plates03, crs_plates03_msk, ship",6
28,object_norm,bs_shell_01_brown,"big_ship, bs_shell_01, bs_shell_01_brown, bs_shell_01_msk",5
29,object_norm,bs_communications_01,"big_ship, bs_communications_01, bs_communications_01_msk",6
30,object_norm,bs_imper_engines,"big_ship, bs_imper_engines, bs_imper_engines_msk",6
31,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, elements",6
32,object_norm,bs_imper_elements,"big_ship, bs_imper_elements, bs_imper_elements_msk",6
33,object_norm,bs_shell_02,"big_ship, bs_shell_02, bs_shell_02_msk",6
34,object_norm,bs_shell_02_brown,"big_ship, bs_shell_02, bs_shell_02_brown, bs_shell_02_msk",5
35,object_norm,wall05,"hungar, wall05",4
36,object_norm,gates,"gates, hungar",4
37,object_norm,wall01,"hungar, wall01",4
38,object_norm,wires,"hungar, wires",4
39,object_norm,wall02,"hungar, wall02, wall02_msk",5
40,object_norm,linewind,"hungar, linewind",5
41,object_norm,wall06,"hungar, wall06",4
42,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, hungar",6
43,object_norm,wall07,"hungar, wall07",4
44,object_norm,cockpit,"cockpit, hungar, wall06",4
45,object_norm,runway,"hungar, runway, wall06",4
46,object_norm,ceiling01,"ceiling01, hungar",5
47,animated_mock,affect_animate,"affect_animate, bs_imper_engines",2
48,animated_mock,gate_scroll,"gate_mask02, gate_scroll",2
49,animated_mock,gate_scroll,"gate_mask02, gate_scroll",2
50,animated_mock,affect_animate,"affect_animate, bs_communications_01",2
51,animated_mock,affect_animate,"affect, affect_animate",2
52,animated_mock,affect_animate,"affect_animate, bs_communications_01",2
53,animated_mock,energy_scroll_blue,"energy, energy_scroll_blue",2
54,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station",6
55,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station",6
56,object_norm,is_communications,"is_communications, is_communications_msk, station",5
57,object_norm,bs_center,"bs_center, bs_center_msk, station",6
58,object_norm,is_panels,"is_panels, is_panels_msk, station",5
59,object_norm,is_details,"is_details, is_details_msk, station",6
60,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station",6
61,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station",6
62,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station",6
63,object_norm,crs_set01,"crs_set01, crs_set01_msk, plates_detail, station",6
64,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, station",5
65,object_norm,fed_mix01,"fed_mix01, fed_mix01_msk, station",6
66,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station",6
67,object_norm,fed_mix01,"fed_mix01, fed_mix01_msk, station",6
68,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, station",5
