block,shader,diffuse_short,keywords,samplers
0,object_norm,prec_shippart_02,"prec_shippart, prec_shippart_02, prec_shippart_msk, wrecks",5
1,object_norm,crystal01_mineral,"asteroids, crystal01_mineral, crystal01_mineral_msk",6
2,object_norm,sc_crack_plates_full_02,"sc_crack_plates_full, sc_crack_plates_full_02, sc_crack_plates_full_msk, sc_plates01, wrecks",5
3,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station",6
4,object_norm,is_communications,"is_communications, is_communications_msk, station",5
5,object_norm,is_details,"is_details, is_details_msk, station",6
6,object_norm,bs_center,"bs_center, bs_center_msk, station",6
7,object_norm,is_panels,"is_panels, is_panels_msk, station",5
8,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station",6
9,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station",6
10,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, station",6
11,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow, station",6
12,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station",6
13,object_norm,bs_shell_01_red,"bs_shell_01, bs_shell_01_msk, bs_shell_01_red, station",6
14,animated_mock,static_shield02,static_shield02,1
15,animated_mock,static_shield01,static_shield01,1
16,animated_mock,gate_scroll,gate_scroll,2
17,object_norm,bs_communications_02_white,"bs_communications_02, bs_communications_02_msk, bs_communications_02_white",5
18,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk",5
19,object_norm,bs_shell_01_yellow,"bs_shell_01, bs_shell_01_msk, bs_shell_01_yellow",5
20,object_norm,crystal01_mineral,"crystal01_mineral, crystal01_mineral_msk, station",6
21,object_norm,sc_cubes02,"sc_cubes02, sc_cubes02_msk, wrecks",6
22,animated_mock,affect_animate,"affect_animate, crystal01_mineral",2
23,object,orange,"asteroid_hole01, orange, wrecks",4
24,object_norm,fed_mix01,"fed_mix01, fed_mix01_msk, station",6
25,object_norm,bs_shell_01_red,"bs_shell_01, bs_shell_01_msk, bs_shell_01_red",5
26,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk",5
27,object_norm,crystal01_mineralrock,"asteroid_detail01, asteroids, crystal01_mineralrock",7
28,object_norm,crystal01_mineral,"crystal01_mineral, crystal01_mineral_msk",5
29,object_norm,fed_plates01,"fed_plates01, fed_plates01_msk, wrecks",5
30,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, wrecks",6
31,object_norm,bs_center,"bs_center, bs_center_msk, wrecks",6
32,animated_mock,shild,shild,1
33,object,lava_asteroid,"lava_asteroid, wrecks",4
34,animated_mock,lava_asteroid,lava_asteroid,1
