block,shader,diffuse_short,keywords,samplers
0,object_norm,sc_cubes02,"carcasius, sc_cubes02, sc_cubes02_msk",6
1,object_norm,sc_crack_plates_full,"carcasius, sc_crack_plates_full, sc_crack_plates_full_msk, sc_plates01",5
2,object_norm,sc_cubes02,"carcasius, sc_cubes02, sc_cubes02_msk",6
3,object,gray,"carcasius, orange",4
4,object_norm,sc_crack_plates_full,"carcasius, sc_crack_plates_full, sc_crack_plates_full_msk, sc_plates01",5
5,object_norm,asteroid_hole01,"asteroid_detail01, asteroid_hole01, asteroidus",5
6,object_norm,prec_shippart,"carcasius, prec_shippart, prec_shippart_msk",5
7,object_norm,sc_crack_plates_blue,"sc_crack_plates, sc_crack_plates_blue, sc_crack_plates_blue_msk, schlangen",5
8,animated_mock,sc_cubes02,sc_cubes02,2
9,animated_mock,sc_cubes02,sc_cubes02,2
