block,shader,diffuse_short,keywords,samplers
0,object_norm,bs_imper_elements,"bs_imper_elements, bs_imper_elements_msk, ships_elements",6
1,object_norm,bs_imper_engines,"bs_imper_engines, bs_imper_engines_msk, ships_elements",6
2,object_norm,bs_center,"big_ship, bs_center, bs_center_msk",6
3,object_norm,bs_communications_02,"big_ship, bs_communications_02, bs_communications_02_msk",6
4,object_norm,bs_communications_01,"big_ship, bs_communications_01, bs_communications_01_msk",6
5,object_norm,bs_shell_01,"big_ship, bs_shell_01, bs_shell_01_msk",6
6,object_norm,bs_shell_02,"big_ship, bs_shell_02, bs_shell_02_msk",6
7,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, scaffold",6
8,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, scaffold",6
9,object_norm,wall05,"hangar, wall05",4
10,object_norm,gates,"gates, hangar",4
11,object_norm,wall01,"hangar, wall01",4
12,object_norm,wires,"hangar, wires",4
13,object_norm,linewind,"hangar, linewind",5
14,object_norm,wall06,"hangar, wall06",4
15,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, hangar",6
16,object_norm,wall02,"hangar, wall02, wall02_msk",5
17,object_norm,cockpit,"cockpit, hangar, wall06",4
18,object_norm,runway,"hangar, runway, wall06",4
19,object_norm,ceiling01,"ceiling01, hangar",5
20,object_norm,crs_plates02,"crs_plates02, crs_plates02_msk, station1",5
21,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, station1",6
22,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, station1",6
23,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, station1",6
24,object_norm,crs_plates02,"crs_plates02, crs_plates02_msk, jer_outpost",5
25,object_norm,bs_communications_02,"bs_communications_02, bs_communications_02_msk, jer_outpost",6
26,object_norm,bs_communications_01,"bs_communications_01, bs_communications_01_msk, jer_outpost",6
27,object_norm,bs_shell_02,"bs_shell_02, bs_shell_02_msk, jer_outpost",6
28,object_norm,bs_shell_01,"bs_shell_01, bs_shell_01_msk, jer_outpost",6
29,object_norm,bs_center,"bs_center, bs_center_msk, jer_outpost",6
30,object_norm,crs_plates03,"crs_plates03, crs_plates03_msk, jer_outpost",6
31,object_norm,crs_plates03,"crs_plates03, crs_plates03_msk, station1",6
